"idNo","condition","response","stimNum","polAffil"
"384630","conservative",1,12,"conservative"
"384630","conservative",-1,72,"conservative"
"384630","conservative",-1,171,"conservative"
"384630","conservative",1,183,"conservative"
"384630","conservative",-1,239,"conservative"
"384630","conservative",1,158,"conservative"
"384630","conservative",-1,196,"conservative"
"384630","conservative",-1,207,"conservative"
"384630","conservative",-1,175,"conservative"
"384630","conservative",1,11,"conservative"
"384630","conservative",-1,94,"conservative"
"384630","conservative",1,63,"conservative"
"384630","conservative",-1,27,"conservative"
"384630","conservative",-1,102,"conservative"
"384630","conservative",-1,42,"conservative"
"384630","conservative",-1,173,"conservative"
"384630","conservative",-1,153,"conservative"
"384630","conservative",-1,104,"conservative"
"384630","conservative",1,202,"conservative"
"384630","conservative",1,243,"conservative"
"384630","conservative",-1,198,"conservative"
"384630","conservative",-1,163,"conservative"
"384630","conservative",1,93,"conservative"
"384630","conservative",-1,169,"conservative"
"384630","conservative",-1,220,"conservative"
"384630","conservative",1,108,"conservative"
"384630","conservative",1,145,"conservative"
"384630","conservative",1,172,"conservative"
"384630","conservative",-1,149,"conservative"
"384630","conservative",-1,35,"conservative"
"384630","conservative",1,125,"conservative"
"384630","conservative",-1,137,"conservative"
"384630","conservative",-1,219,"conservative"
"384630","conservative",-1,55,"conservative"
"384630","conservative",-1,235,"conservative"
"384630","conservative",1,24,"conservative"
"384630","conservative",1,26,"conservative"
"384630","conservative",1,240,"conservative"
"384630","conservative",-1,192,"conservative"
"384630","conservative",-1,96,"conservative"
"384630","conservative",-1,143,"conservative"
"384630","conservative",-1,9,"conservative"
"384630","conservative",-1,165,"conservative"
"384630","conservative",-1,206,"conservative"
"384630","conservative",-1,134,"conservative"
"384630","conservative",1,187,"conservative"
"384630","conservative",1,217,"conservative"
"384630","conservative",-1,119,"conservative"
"384630","conservative",1,186,"conservative"
"384630","conservative",-1,215,"conservative"
"384630","conservative",1,210,"conservative"
"384630","conservative",-1,30,"conservative"
"384630","conservative",1,118,"conservative"
"384630","conservative",1,64,"conservative"
"384630","conservative",1,40,"conservative"
"384630","conservative",1,182,"conservative"
"384630","conservative",-1,230,"conservative"
"384630","conservative",1,177,"conservative"
"384630","conservative",1,247,"conservative"
"384630","conservative",-1,249,"conservative"
"384630","conservative",-1,111,"conservative"
"384630","conservative",1,156,"conservative"
"384630","conservative",1,49,"conservative"
"384630","conservative",-1,168,"conservative"
"384630","conservative",1,54,"conservative"
"384630","conservative",1,188,"conservative"
"384630","conservative",1,16,"conservative"
"384630","conservative",-1,87,"conservative"
"384630","conservative",-1,218,"conservative"
"384630","conservative",-1,190,"conservative"
"384630","conservative",1,117,"conservative"
"384630","conservative",-1,189,"conservative"
"384630","conservative",-1,109,"conservative"
"384630","conservative",1,141,"conservative"
"384630","conservative",1,160,"conservative"
"384630","conservative",-1,7,"conservative"
"384630","conservative",-1,234,"conservative"
"384630","conservative",1,22,"conservative"
"384630","conservative",-1,25,"conservative"
"384630","conservative",1,224,"conservative"
"384630","conservative",-1,39,"conservative"
"384630","conservative",1,174,"conservative"
"384630","conservative",1,61,"conservative"
"384630","conservative",1,112,"conservative"
"384630","conservative",-1,91,"conservative"
"384630","conservative",-1,69,"conservative"
"384630","conservative",1,76,"conservative"
"384630","conservative",1,161,"conservative"
"384630","conservative",1,142,"conservative"
"384630","conservative",1,36,"conservative"
"384630","conservative",-1,81,"conservative"
"384630","conservative",-1,90,"conservative"
"384630","conservative",-1,214,"conservative"
"384630","conservative",-1,77,"conservative"
"384630","conservative",1,154,"conservative"
"384630","conservative",-1,233,"conservative"
"384630","conservative",-1,139,"conservative"
"384630","conservative",-1,56,"conservative"
"384630","conservative",1,86,"conservative"
"384630","conservative",1,246,"conservative"
"384630","conservative",1,152,"conservative"
"384630","conservative",1,103,"conservative"
"384630","conservative",1,140,"conservative"
"384630","conservative",1,147,"conservative"
"384630","conservative",1,199,"conservative"
"384630","conservative",1,113,"conservative"
"384630","conservative",-1,46,"conservative"
"384630","conservative",-1,126,"conservative"
"384630","conservative",1,66,"conservative"
"384630","conservative",-1,162,"conservative"
"384630","conservative",-1,60,"conservative"
"384630","conservative",-1,225,"conservative"
"384630","conservative",-1,73,"conservative"
"384630","conservative",-1,209,"conservative"
"384630","conservative",-1,203,"conservative"
"384630","conservative",-1,18,"conservative"
"384630","conservative",-1,130,"conservative"
"384630","conservative",-1,59,"conservative"
"384630","conservative",-1,5,"conservative"
"384630","conservative",-1,31,"conservative"
"384630","conservative",1,194,"conservative"
"384630","conservative",1,44,"conservative"
"384630","conservative",1,100,"conservative"
"384630","conservative",1,50,"conservative"
"384630","conservative",1,151,"conservative"
"384630","conservative",-1,144,"conservative"
"384630","conservative",1,29,"conservative"
"384630","conservative",-1,159,"conservative"
"384630","conservative",-1,181,"conservative"
"384630","conservative",1,205,"conservative"
"384630","conservative",-1,89,"conservative"
"384630","conservative",1,250,"conservative"
"384630","conservative",1,121,"conservative"
"384630","conservative",-1,164,"conservative"
"384630","conservative",1,228,"conservative"
"384630","conservative",1,213,"conservative"
"384630","conservative",-1,114,"conservative"
"384630","conservative",1,129,"conservative"
"384630","conservative",1,241,"conservative"
"384630","conservative",-1,92,"conservative"
"384630","conservative",-1,127,"conservative"
"384630","conservative",1,62,"conservative"
"384630","conservative",1,98,"conservative"
"384630","conservative",-1,222,"conservative"
"384630","conservative",-1,19,"conservative"
"384630","conservative",-1,208,"conservative"
"384630","conservative",-1,193,"conservative"
"384630","conservative",-1,204,"conservative"
"384630","conservative",1,20,"conservative"
"384630","conservative",-1,3,"conservative"
"384630","conservative",-1,155,"conservative"
"384630","conservative",-1,1,"conservative"
"384630","conservative",-1,23,"conservative"
"384630","conservative",1,101,"conservative"
"384630","conservative",-1,167,"conservative"
"384630","conservative",1,244,"conservative"
"384630","conservative",-1,79,"conservative"
"384630","conservative",-1,123,"conservative"
"384630","conservative",1,110,"conservative"
"384630","conservative",1,238,"conservative"
"384630","conservative",-1,212,"conservative"
"384630","conservative",-1,85,"conservative"
"384630","conservative",-1,58,"conservative"
"384630","conservative",1,33,"conservative"
"384630","conservative",-1,179,"conservative"
"384630","conservative",1,13,"conservative"
"384630","conservative",1,201,"conservative"
"384630","conservative",1,232,"conservative"
"384630","conservative",-1,105,"conservative"
"384630","conservative",1,180,"conservative"
"384630","conservative",-1,132,"conservative"
"384630","conservative",1,157,"conservative"
"384630","conservative",1,236,"conservative"
"384630","conservative",-1,231,"conservative"
"384630","conservative",1,43,"conservative"
"384630","conservative",-1,124,"conservative"
"384630","conservative",1,74,"conservative"
"384630","conservative",1,28,"conservative"
"384630","conservative",-1,115,"conservative"
"384630","conservative",-1,131,"conservative"
"384630","conservative",-1,80,"conservative"
"384630","conservative",-1,195,"conservative"
"384630","conservative",1,8,"conservative"
"384630","conservative",-1,176,"conservative"
"384630","conservative",1,166,"conservative"
"384630","conservative",-1,38,"conservative"
"384630","conservative",1,229,"conservative"
"384630","conservative",-1,99,"conservative"
"384630","conservative",-1,223,"conservative"
"384630","conservative",-1,45,"conservative"
"384630","conservative",1,41,"conservative"
"384630","conservative",-1,185,"conservative"
"384630","conservative",1,122,"conservative"
"384630","conservative",-1,148,"conservative"
"384630","conservative",-1,128,"conservative"
"384630","conservative",-1,84,"conservative"
"384630","conservative",-1,184,"conservative"
"384630","conservative",1,34,"conservative"
"384630","conservative",-1,95,"conservative"
