start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
space,6.4686,1,2.6981,0,0,0,6,1,cis/conservative - ingroup/base_idNo_312027_autoscaled.jpg,stim007,chinese characters/Slide7.jpeg,char007,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.6906,0,1,1,51,1,cis/liberal - ingroup/base_idNo_247453_autoscaled.jpg,stim052,chinese characters/Slide52.jpeg,char052,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.801,0,2,2,47,1,cis/conservative - outgroup/base_idNo_901185_autoscaled.jpg,stim048,chinese characters/Slide48.jpeg,char048,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,1.3435,0,3,3,39,1,cis/conservative - outgroup/base_idNo_643489_autoscaled.jpg,stim040,chinese characters/Slide40.jpeg,char040,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.8548,0,4,4,92,1,cis/liberal - outgroup/base_idNo_691475_autoscaled.jpg,stim093,chinese characters/Slide93.jpeg,char093,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.868,0,5,5,79,1,cis/liberal - outgroup/base_idNo_316191_autoscaled.jpg,stim080,chinese characters/Slide80.jpeg,char080,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.9259,0,6,6,53,1,cis/liberal - ingroup/base_idNo_283998_autoscaled.jpg,stim054,chinese characters/Slide54.jpeg,char054,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,4,1.1151,0,7,7,101,1,cis/liberal - outgroup/base_idNo_924521_autoscaled.jpg,stim102,chinese characters/Slide102.jpeg,char102,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,4,0.855,0,8,8,69,1,cis/liberal - ingroup/base_idNo_820737_autoscaled.jpg,stim070,chinese characters/Slide70.jpeg,char070,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,4,0.8882,0,9,9,9,1,cis/conservative - ingroup/base_idNo_435390_autoscaled.jpg,stim010,chinese characters/Slide10.jpeg,char010,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,4.0811,0,10,10,12,1,cis/conservative - ingroup/base_idNo_495549_autoscaled.jpg,stim013,chinese characters/Slide13.jpeg,char013,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.9184,0,11,11,16,1,cis/conservative - ingroup/base_idNo_630658_autoscaled.jpg,stim017,chinese characters/Slide17.jpeg,char017,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,1.0859,0,12,12,66,1,cis/liberal - ingroup/base_idNo_648338_autoscaled.jpg,stim067,chinese characters/Slide67.jpeg,char067,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.8893,0,13,13,45,1,cis/conservative - outgroup/base_idNo_882735_autoscaled.jpg,stim046,chinese characters/Slide46.jpeg,char046,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,1.5165,0,14,14,22,1,cis/conservative - ingroup/base_idNo_851879_autoscaled.jpg,stim023,chinese characters/Slide23.jpeg,char023,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.8692,0,15,15,31,1,cis/conservative - outgroup/base_idNo_311058_autoscaled.jpg,stim032,chinese characters/Slide32.jpeg,char032,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.9349,0,16,16,36,1,cis/conservative - outgroup/base_idNo_559539_autoscaled.jpg,stim037,chinese characters/Slide37.jpeg,char037,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,1.2826,0,17,17,7,1,cis/conservative - ingroup/base_idNo_384630_autoscaled.jpg,stim008,chinese characters/Slide8.jpeg,char008,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,1.0746,0,18,18,84,1,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,stim085,chinese characters/Slide85.jpeg,char085,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,1.3598,0,19,19,3,1,cis/conservative - ingroup/base_idNo_215299_autoscaled.jpg,stim004,chinese characters/Slide4.jpeg,char004,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
