prolific_id,task_timer_First Click,task_timer_Last Click,task_timer_Page Submit,task_timer_Click Count,attention_check,attention_check_DO,age,sex,race,politics_1,chinese_language_1
628f700669d5f6e4e33c8d8e,49.116,49.116,301.449,1,3,4|2|3|5|1,,,,,
5b5b6c11f5bc590001177815,2.248,96.937,279.174,2,1,1|5|3|2|4,50,2,7,0,0
5c5c70947676860001fff825,18.203,38.921,301.223,2,3,3|2|1|5|4,,,,,
5c43fb651ddd660001c9de3a,10.19,18.825,301.187,2,1,3|1|5|4|2,25,2,7,4,
58d3dad59dbe3f0001258f66,10.681,10.681,266.377,1,1,1|3|5|2|4,52,2,7,5,0
628bc0d63d16d399b19e1120,3.887,5.078,228.407,2,5,3|5|4|1|2,,,,,
5adf732f5f327e0001fb8481,1.422,9.161,301.115,8,4,2|1|5|4|3,,,,,
61513b7450fa098536531691,6.703,6.703,301.53,1,3,1|4|3|5|2,,,,,
612ee4c5848318d0c3a3f172,12.12,22.05,291.837,3,4,2|1|5|4|3,,,,,
61119f53be6706f17801d4cf,31.122,31.122,301.756,1,1,3|1|4|5|2,35,3,7,0,0
612ee4c5848318d0c3a3f172,2.114,176.489,182.059,2,4,5|4|3|2|1,,,,,
6290e41cb4d2e1a893a8a032,7.628,7.628,250.278,1,1,5|4|2|3|1,25,1,7,2,
60736fe442136baac88c3415,9.876,9.876,301.37,1,1,3|5|1|2|4,37,2,7,5,0
5ee0f7dc10f0300ba958afba,64.17,64.17,300.748,1,1,1|3|2|4|5,23,2,7,1,1
5e5578c220b63957aeea65dd,18.311,18.311,301.591,1,1,1|4|2|3|5,18,2,7,6,0
5d27d44acdaf690001297992,27.462,27.462,301.808,1,1,1|4|2|3|5,33,3,7,0,0
6111a0106181a782aa311d77,12.369,12.369,274.08,1,1,2|3|4|1|5,24,2,7,8,2
60fdab454b8c00448c10fa27,17.602,17.602,301.702,1,1,1|5|3|4|2,26,1,7,0,0
6147a3561783c052a4449392,19.814,19.814,256.572,1,1,5|4|2|1|3,18,2,8,2,6
6045c416b5547f70e3917c12,66.253,66.253,301.154,1,4,3|1|2|5|4,,,,,
611090937a289964575308f0,3.663,3.663,280.732,1,4,2|4|3|5|1,,,,,
60b7dc47fe93c1ed8bf41e56,0,0,239.212,0,4,1|2|3|5|4,,,,,
