groupKey.keys,groupKey.rt,taskBegin.keys,taskBegin.rt,groupCat.keys,groupCat.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimID,participantPol,ciGroup,ciType,imgSrc,ProlificID,date,expName,psychopyVersion,OS,frameRate
u,5.709,space,8.277,u,2.923,0,0,0,44,1,ci45,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_844015_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
,,,,u,1.236,0,1,1,106,1,ci107,conservative,outgroup,group,cis/group level cis/base_group_conservativeOutgroup_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
,,,,o,1.342,0,2,2,72,1,ci73,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_929772_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
,,,,u,1.01,0,3,3,42,1,ci43,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
,,,,o,0.873,0,4,4,20,1,ci21,conservative,ingroup,individual,cis/conservative - ingroup/base_idNo_746809_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
,,,,o,2.012,0,5,5,61,1,ci62,liberal,ingroup,individual,cis/liberal - ingroup/base_idNo_537785_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
,,,,u,1.315,0,6,6,89,1,ci90,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_535284_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
,,,,u,1.07,0,7,7,49,1,ci50,conservative,outgroup,individual,cis/conservative - outgroup/base_idNo_914661_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
,,,,o,0.881,0,8,8,93,1,ci94,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_758732_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
,,,,o,0.801,0,9,9,84,1,ci85,liberal,outgroup,individual,cis/liberal - outgroup/base_idNo_402893_autoscaled.jpg,5ed57bda0af83d0fc18bbff7,2022-06-14_12h23.56.126,group_task,2020.2.10,Linux x86_64,60
